STOREID,STREET,CITY,PROV,LAT,LONG
102368,581 Parliament St,Toronto,ON,43.66708,-79.36911
102669,245 Church St.,Toronto,ON,43.657182,-79.377036
103908,123 Garratt Blvd,Toronto,ON,43.734128,-79.317374
104396,1 Blue Jays Way,Toronto,ON,43.64187,-79.389846
102601,65 Queen St W,Toronto,ON,43.65175,-79.38239
102387,200 Wellington St W,Toronto,ON,43.645858,-79.38725
104354,261 Yonge Street,Toronto,ON,43.655156,-79.38039
102480,"South East, 2nd Floor, 50 Gould St",Toronto,ON,43.658346,-79.378136
102433,325 Front St W,Toronto,ON,43.643436,-79.389975
100670,26 Dundas St,Toronto,ON,43.656736,-79.379895
103887,350 Victoria St,Toronto,ON,43.658009,-79.380418
102357,111 Carlton St,Toronto,ON,43.662312,-79.377131
103297,595 Bay Street,Toronto,ON,43.656447,-79.38173
103305,575 Bay Street,Toronto,ON,43.655643,-79.382561
103021,340 Front Street West,Toronto,ON,43.643692,-79.391745
103091,"7th Floor, 575 Bay St",Toronto,ON,43.655632,-79.382658
103143,148 Simcoe St,Toronto,ON,43.649838,-79.387094
102629,322A King St W,Toronto,ON,43.646697,-79.389642
103253,150 Wynford Drive,Toronto,ON,43.72662,-79.32755
102481,380 Victoria St.,Toronto,ON,43.659094,-79.38099
104106,751 Don Mills Road ,Toronto,ON,43.716466,-79.337116
103582,553 Lakeshore Blvd.,Toronto,ON,43.636399,-79.399652
102775,100 Wynford Dr,Toronto,ON,43.72668,-79.33084
101800,1244 Lawrence Ave E,Toronto,ON,43.7412,-79.3193
102277,444 Yonge St,Toronto,ON,43.661191,-79.383299
102278,444 Yonge St,Toronto,ON,43.661216,-79.383353
102017,438 University Ave,Toronto,ON,43.654572,-79.388639
102917,481 University Ave.,Toronto,ON,43.655449,-79.388022
103349,119 Spadina Avenue,Toronto,ON,43.64703,-79.395162
101927,1110 Don Mills Rd,Toronto,ON,43.72052,-79.33878
102182,843 Don Mills Rd,Toronto,ON,43.72052,-79.33878
100909,555 University Ave,Toronto,ON,43.65634,-79.38885
103227,419 Bloor Street East,Toronto,ON,43.672344,-79.376856
103490,2050 Victoria Park,Toronto,ON,43.752743,-79.313583
102161,200 Elizabeth St,Toronto,ON,43.6595,-79.38699
102707,657 University Ave,Toronto,ON,43.65752,-79.38937
103061,600 University Avenue,Toronto,ON,43.65746,-79.38965
101939,610 University Ave,Toronto,ON,43.657582,-79.389704
100890,1309 Lawrence Ave E,Toronto,ON,43.74078,-79.32469
102572,333 Bloor St. E,Toronto,ON,43.67181,-79.37946
